Scenario,Case,Method,Obj,Gap(%),Time(s)
"('Large', 'Medium', 'Medium')",16,Naive,13935155128.395735,0.7135075416926193,0.02527618408203125
"('Large', 'Medium', 'Medium')",17,Relax,13088714334.416403,0.0,3.250994920730591
"('Large', 'Medium', 'Medium')",17,Heur,13088784225.714664,0.0005339813863754767,0.05750703811645508
"('Large', 'Medium', 'Medium')",17,Naive,13185694072.210962,0.7409416640682118,0.016842365264892578
"('Large', 'Medium', 'Medium')",18,Relax,12859718037.43602,0.0,2.949528932571411
"('Large', 'Medium', 'Medium')",18,Heur,12859784589.856232,0.0005175262787103943,0.05021071434020996
"('Large', 'Medium', 'Medium')",18,Naive,12959544793.049429,0.7762748399521875,0.015103816986083984
"('Large', 'Medium', 'Medium')",19,Relax,13453985478.041931,0.0,2.9142301082611084
"('Large', 'Medium', 'Medium')",19,Heur,13454046734.714262,0.00045530502787320914,0.07519197463989258
"('Large', 'Medium', 'Medium')",19,Naive,13553703359.094378,0.7411772609327889,0.019814014434814453
"('Large', 'Medium', 'Medium')",20,Relax,13570873517.23319,0.0,2.9216179847717285
"('Large', 'Medium', 'Medium')",20,Heur,13570953751.890093,0.0005912269154997722,0.06070399284362793
"('Large', 'Medium', 'Medium')",20,Naive,13668789819.87712,0.7215180549696226,0.019325971603393555
"('Large', 'Medium', 'Medium')",21,Relax,13498769953.297974,0.0,2.925419807434082
"('Large', 'Medium', 'Medium')",21,Heur,13498840202.186047,0.0005204095507665464,0.051666259765625
"('Large', 'Medium', 'Medium')",21,Naive,13597904417.796114,0.7343962808546133,0.013900041580200195
"('Large', 'Medium', 'Medium')",22,Relax,13355543412.25077,0.0,2.796555995941162
"('Large', 'Medium', 'Medium')",22,Heur,13355620491.26044,0.0005771312127932926,0.0744011402130127
"('Large', 'Medium', 'Medium')",22,Naive,13454395332.523422,0.7401564820041452,0.01917409896850586
"('Large', 'Medium', 'Medium')",23,Relax,13152836547.457262,0.0,4.465728044509888
"('Large', 'Medium', 'Medium')",23,Heur,13152916866.411598,0.0006106588038737077,0.09109926223754883
"('Large', 'Medium', 'Medium')",23,Naive,13250208274.15359,0.7403097145242891,0.025883913040161133
"('Large', 'Medium', 'Medium')",24,Relax,13103203367.330208,0.0,5.223337888717651
"('Large', 'Medium', 'Medium')",24,Heur,13103274494.588509,0.0005428234326128261,0.09615683555603027
"('Large', 'Medium', 'Medium')",24,Naive,13200045433.935835,0.7390716902637736,0.02828383445739746
"('Large', 'Medium', 'Medium')",25,Relax,13259568461.584387,0.0,5.522727012634277
"('Large', 'Medium', 'Medium')",25,Heur,13259654720.98321,0.0006505445412699146,0.08292698860168457
"('Large', 'Medium', 'Medium')",25,Naive,13356311078.205074,0.7296060720299468,0.019460201263427734
"('Large', 'Medium', 'Medium')",26,Relax,12822385671.499681,0.0,3.63388991355896
"('Large', 'Medium', 'Medium')",26,Heur,12822463875.053133,0.0006098986214816571,0.10895991325378418
"('Large', 'Medium', 'Medium')",26,Naive,12921693823.76436,0.7744904482588697,0.03417325019836426
"('Large', 'Medium', 'Medium')",27,Relax,14047541461.257696,0.0,4.648666143417358
"('Large', 'Medium', 'Medium')",27,Heur,14047621797.97522,0.0005718916562384872,0.09361600875854492
"('Large', 'Medium', 'Medium')",27,Naive,14142831678.298197,0.678340884796856,0.02640986442565918
"('Large', 'Medium', 'Medium')",28,Relax,13611598234.838982,0.0,3.573450803756714
"('Large', 'Medium', 'Medium')",28,Heur,13611664167.808155,0.00048438815219123567,0.07088494300842285
"('Large', 'Medium', 'Medium')",28,Naive,13709277678.44392,0.7176192091456776,0.019525766372680664
"('Large', 'Medium', 'Medium')",29,Relax,13264672397.929873,0.0,3.6812429428100586
"('Large', 'Medium', 'Medium')",29,Heur,13264750211.236332,0.0005866206425992901,0.08289599418640137
"('Large', 'Medium', 'Medium')",29,Naive,13363922504.881763,0.7482288591415212,0.02744007110595703
"('Large', 'Medium', 'Medium')",30,Relax,13046322670.059435,0.0,3.4496829509735107
"('Large', 'Medium', 'Medium')",30,Heur,13046401783.38976,0.0006064032932876445,0.05481100082397461
"('Large', 'Medium', 'Medium')",30,Naive,13148985757.810055,0.7869120697606676,0.014999151229858398
"('Medium', 'Low', 'Medium')",1,Relax,882872399.7478844,0.0,0.17785072326660156
"('Medium', 'Low', 'Medium')",1,Heur,882887820.40823,0.0017466465539026843,0.0036971569061279297
"('Medium', 'Low', 'Medium')",1,Naive,891295556.5550244,0.9540627625855485,0.0013659000396728516
"('Medium', 'Low', 'Medium')",2,Relax,960713858.0459279,0.0,0.19149112701416016
"('Medium', 'Low', 'Medium')",2,Heur,960731231.9433962,0.001808436229250052,0.0036950111389160156
"('Medium', 'Low', 'Medium')",2,Naive,969097754.8139073,0.872673658005939,0.0015227794647216797
"('Medium', 'Low', 'Medium')",3,Relax,969594560.5092005,0.0,0.2511298656463623
"('Medium', 'Low', 'Medium')",3,Heur,969611211.5674481,0.0017173217472404982,0.0050427913665771484
"('Medium', 'Low', 'Medium')",3,Naive,977586592.4294149,0.8242653420020479,0.0018308162689208984
"('Medium', 'Low', 'Medium')",4,Relax,832856748.9324298,0.0,0.18208932876586914
"('Medium', 'Low', 'Medium')",4,Heur,832871580.4959563,0.001780806068453254,0.003663301467895508
"('Medium', 'Low', 'Medium')",4,Naive,840591676.5081568,0.9287224466442457,0.0013649463653564453
"('Medium', 'Low', 'Medium')",5,Relax,942587292.3411685,0.0,0.174285888671875
