Scenario,Instance_ID,LP_Relax_Obj (Q4),Proposed_Heuristic_Obj (Q5),Naive_Obj (Q4),LP_Relax_Time,Proposed_Heuristic_Time,Naive_Time,Proposed_Heuristic_Gap (Q5),Naive_Gap (Q4)
"('Small', 'Medium', 'Medium')",16,17134163.462506678,17142979.948999725,17247453.579359885,0.004052400588989258,0.0,0.0,0.05145559929050368,0.6611943273513823
"('Small', 'Medium', 'Medium')",17,20432630.49732067,20441253.894577883,20574448.05880003,0.005028486251831055,0.0,0.0010004043579101562,0.0422040483644205,0.6940739299228085
"('Small', 'Medium', 'Medium')",18,13140170.750524301,13149646.101643227,13243410.295952752,0.003998994827270508,0.0,0.0,0.07210980206286807,0.7856788727371129
"('Small', 'Medium', 'Medium')",19,16034209.259513156,16040207.50475114,16108095.989398975,0.0049991607666015625,0.0,0.0,0.03740904924528774,0.46080682052955724
"('Small', 'Medium', 'Medium')",20,20877251.609427724,20885136.311153755,21024687.56875343,0.0039997100830078125,0.0,0.0,0.037766952631207426,0.7062038724442338
"('Small', 'Medium', 'Medium')",21,17844067.616556615,17849895.774500802,17973330.957320187,0.004998445510864258,0.0,0.0,0.03266159975083185,0.724405127470127
"('Small', 'Medium', 'Medium')",22,17475395.85120959,17482525.817301024,17606783.40411185,0.004999637603759766,0.0,0.0,0.040800026231977406,0.751843071372649
"('Small', 'Medium', 'Medium')",23,17605238.03113278,17615640.21742051,17732468.473317444,0.00500035285949707,0.001001119613647461,0.0,0.05908574635194308,0.7226851574495745
"('Small', 'Medium', 'Medium')",24,16055524.495307898,16060638.791798562,16156738.530753478,0.003998279571533203,0.0,0.0,0.031853811391576003,0.6304000562246301
"('Small', 'Medium', 'Medium')",25,18813863.6550742,18819639.589532286,18932911.634257343,0.004002094268798828,0.0,0.0,0.030700416267376338,0.6327673112005
"('Small', 'Medium', 'Medium')",26,9613904.743025307,9620770.622331662,9671582.457837593,0.00500035285949707,0.0,0.0,0.0714161362097596,0.5999405689361569
"('Small', 'Medium', 'Medium')",27,17981970.099368222,17985630.989999864,18095523.120740015,0.004999399185180664,0.0,0.0,0.02035867377941427,0.6314826503675622
"('Small', 'Medium', 'Medium')",28,20406119.28889995,20413213.223644402,20569125.07875051,0.0039997100830078125,0.0,0.0,0.034763762006968124,0.7988083747958251
"('Small', 'Medium', 'Medium')",29,10706707.481292574,10711368.59384594,10776709.550946567,0.005310773849487305,0.0,0.0,0.04353450919911387,0.653815094661972
"('Small', 'Medium', 'Medium')",30,13411866.514638528,13417297.387328392,13501269.737330407,0.005101442337036133,0.0009999275207519531,0.0,0.040493041620538656,0.6665979160640956
